pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
TOI-451 d,TOI-451,16.364962,0.1168,3.93,10.2,714.0,5490.0,Transit,2020
TOI-178 b,TOI-178,1.9145601,0.02607,1.2,0.96,1040.0,4316.0,Transit,2021
TOI-178 c,TOI-178,3.238486,0.037,1.754,4.64,873.0,4316.0,Transit,2021
TOI-178 d,TOI-178,6.557569,0.0592,2.695,5.2,690.0,4316.0,Transit,2021
TOI-178 e,TOI-178,9.96318,0.0783,2.301,3.48,600.0,4316.0,Transit,2021
TOI-178 f,TOI-178,15.23335,0.1039,2.417,5.63,521.0,4316.0,Transit,2021
TOI-178 g,TOI-178,20.71663,0.1275,2.939,4.4,470.0,4316.0,Transit,2021
GJ 486 b,GJ 486,1.46712127,0.01714,1.289,2.77,696.3,3317.0,Radial Velocity,2021
LHS 1478 b,LHS 1478,1.9495378,0.01848,1.242,2.33,595.0,3381.0,Transit,2021
TOI-1231 b,TOI-1231,24.245586,0.1288,3.65,15.4,329.6,3553.0,Transit,2021
TOI-674 b,TOI-674,1.977143,0.025,5.25,23.6,635.0,3514.0,Transit,2021
TOI-1685 b,TOI-1685,0.66913923,0.01164,1.421,3.07,1000.0,3470.0,Transit,2021
TOI-1807 b,TOI-1807,0.54937097,0.0122,1.49681583,2.44,1694.1,4914.0,Transit,2021
TOI-2076 b,TOI-2076,10.35504,0.08781,2.59,6.7,736.0,5187.0,Transit,2021
TOI-2076 c,TOI-2076,21.01447,0.1407,3.54,7.2,581.0,5187.0,Transit,2021
TOI-2076 d,TOI-2076,35.12803,0.1982,3.27,7.3,490.0,5187.0,Transit,2021
AU Mic c,AU Mic,18.859023,0.119,2.79,14.46,424.7,3540.0,Transit,2021
TOI-431 b,TOI-431,0.490047,0.0113,1.28,3.07,1862.0,4850.0,Transit,2021
TOI-431 c,TOI-431,4.8494,0.052,1.49,2.83,867.0,4850.0,Radial Velocity,2021
TOI-431 d,TOI-431,12.46103,0.098,3.29,9.9,633.0,4850.0,Transit,2021
