n,xi1,dtheta_xi1,rho_ratio,mass_param,omega_n,N_n,W_n,Pc,error_mean,error_max
3.0,6.8968,-0.0424297575988813,54.1825,2.0182,2.0182,0.3639,0.081,0.0091,1.1691664747477516e-08,5.0095253445459065e-08
3.15,7.5319,-0.03483263431878869,72.0768,1.976,1.7164,0.3722,0.0749,0.0084,1.0695311143803128e-08,5.106200051674392e-08
3.3,8.285,-0.02822253937951661,97.8537,1.9372,1.4703,0.3828,0.0695,0.0078,9.707549290906556e-09,5.201610728255979e-08
3.45,9.1915,-0.022509914907742984,136.11,1.9017,1.2653,0.396,0.0647,0.0073,8.733906104812845e-09,5.29573930541094e-08
3.6,10.3016,-0.01761417287544871,194.9489,1.8693,1.0912,0.4123,0.0604,0.0068,7.775214902396358e-09,5.388591700627998e-08
3.75,11.6903,-0.013462375209511048,289.4559,1.8398,0.9409,0.4323,0.0567,0.0064,6.834099188078878e-09,5.4801774146406856e-08
